Code,Name,Target_Asli,Prediksi_Model
IKBI,Sumi Indo Kabel Tbk.,214.0,1361.1215
IMAS,Indomobil Sukses Internasional,835.0,1213.0486
IMJS,Indomobil Multi Jasa Tbk.,316.0,369.88416
IMPC,Impack Pratama Industri Tbk.,3450.0,380.54657
INAF,Indofarma Tbk.,850.0,658.9545
INAI,Indal Aluminium Industry Tbk.,250.0,1119.0397
INCF,Indo Komoditi Korpora Tbk.,52.0,421.85922
INCI,Intanwijaya Internasional Tbk,670.0,1450.5421
INCO,Vale Indonesia Tbk.,7350.0,1565.5287
INDF,Indofood Sukses Makmur Tbk.,6950.0,1272.7412
INDO,Royalindo Investa Wijaya Tbk.,87.0,499.05472
INDR,Indo-Rama Synthetics Tbk.,5200.0,1447.7372
INDS,Indospring Tbk.,1900.0,1443.1083
INDX,Tanah Laut Tbk,220.0,635.0537
INDY,Indika Energy Tbk.,2440.0,466.9937
INKP,Indah Kiat Pulp & Paper Tbk.,8625.0,1518.6221
INOV,Inocycle Technology Group Tbk.,120.0,523.63446
INPC,Bank Artha Graha Internasional,70.0,1441.9297
INPP,Indonesian Paradise Property T,398.0,480.36652
INPS,Indah Prakasa Sentosa Tbk.,995.0,475.216
INRU,Toba Pulp Lestari Tbk.,630.0,1434.368
INTA,Intraco Penta Tbk.,74.0,1165.7896
INTD,Inter Delta Tbk,183.0,1469.041
INTP,Indocement Tunggal Prakarsa Tb,10050.0,1547.9031
IPAC,Era Graharealty Tbk.,111.0,464.61203
IPCC,Indonesia Kendaraan Terminal T,535.0,482.5174
IPCM,Jasa Armada Indonesia Tbk.,270.0,464.5464
IPOL,Indopoly Swakarsa Industry Tbk,141.0,406.71545
IPPE,Indo Pureco Pratama Tbk.,122.0,595.6425
IPTV,MNC Vision Networks Tbk.,63.0,518.71295
IRRA,Itama Ranoraya Tbk.,1040.0,526.2148
ISAT,Indosat Tbk.,6125.0,1201.3043
ISSP,Steel Pipe Industry of Indones,236.0,346.9538
ITIC,Indonesian Tobacco Tbk.,252.0,527.9953
ITMA,Sumber Energi Andalan Tbk.,770.0,1382.6733
ITMG,Indo Tambangraya Megah Tbk.,35400.0,544.0844
JARR,Jhonlin Agro Raya Tbk.,260.0,609.83563
JAST,Jasnita Telekomindo Tbk.,84.0,504.87537
JAWA,Jaya Agra Wattie Tbk.,128.0,421.4923
JAYA,Armada Berjaya Trans Tbk.,107.0,485.63416
JECC,Jembo Cable Company Tbk.,4950.0,1233.833
JGLE,Graha Andrasentra Propertindo ,50.0,421.59406
JIHD,Jakarta International Hotels &,346.0,1872.1941
JKON,Jaya Konstruksi Manggala Prata,110.0,437.19684
JKSW,Jakarta Kyoei Steel Works Tbk.,60.0,302.45093
JMAS,Asuransi Jiwa Syariah Jasa Mit,79.0,484.35992
JPFA,Japfa Comfeed Indonesia Tbk.,1380.0,1536.4791
JRPT,Jaya Real Property Tbk.,486.0,1135.1737
JSKY,Sky Energy Indonesia Tbk.,52.0,482.7227
JSMR,Jasa Marga (Persero) Tbk.,3050.0,494.14624
JSPT,Jakarta Setiabudi Internasiona,840.0,895.0097
JTPE,Jasuindo Tiga Perkasa Tbk.,260.0,584.0468
KAEF,Kimia Farma Tbk.,1090.0,650.2891
KARW,ICTSI Jasa Prima Tbk.,78.0,1098.3716
KAYU,Darmi Bersaudara Tbk.,50.0,512.5112
KBAG,Karya Bersama Anugerah Tbk.,50.0,505.86932
KBLI,KMI Wire & Cable Tbk.,308.0,1280.5005
KBLM,Kabelindo Murni Tbk.,236.0,1265.2648
KBLV,First Media Tbk.,100.0,731.8449
KBRI,Kertas Basuki Rachmat Indonesi,50.0,442.87207
KDSI,Kedawung Setia Industrial Tbk.,1065.0,1003.4241
KEEN,Kencana Energi Lestari Tbk.,600.0,519.86676
KEJU,Mulia Boga Raya Tbk.,1400.0,541.9234
KIAS,Keramika Indonesia Assosiasi T,50.0,1076.2355
KICI,Kedaung Indah Can Tbk,200.0,1214.814
KIJA,Kawasan Industri Jababeka Tbk.,145.0,1085.6776
KINO,Kino Indonesia Tbk.,1540.0,419.6735
KIOS,Kioson Komersial Indonesia Tbk,141.0,456.58124
KJEN,Krida Jaringan Nusantara Tbk.,151.0,497.1105
KKES,Kusuma Kemindo Sentosa Tbk.,108.0,594.8488
KKGI,Resource Alam Indonesia Tbk.,396.0,1364.9943
KLBF,Kalbe Farma Tbk.,2050.0,1448.9563
KLIN,Klinko Karya Imaji Tbk.,31.0,530.14923
KMDS,Kurniamitra Duta Sentosa Tbk.,565.0,563.8288
KMTR,Kirana Megatara Tbk.,266.0,446.8713
KOBX,Kobexindo Tractors Tbk.,336.0,336.9546
KOIN,Kokoh Inti Arebama Tbk,138.0,407.39655
KONI,Perdana Bangun Pusaka Tbk,2960.0,1039.6782
KOPI,Mitra Energi Persada Tbk.,545.0,381.2664
KOTA,DMS Propertindo Tbk.,50.0,485.48212
KPAL,Steadfast Marine Tbk.,50.0,529.5942
KPAS,Cottonindo Ariesta Tbk.,62.0,545.4749
KPIG,MNC Land Tbk.,69.0,675.50275
KRAH,Grand Kartech Tbk.,436.0,425.48657
KRAS,Krakatau Steel (Persero) Tbk.,310.0,396.55005
KREN,Kresna Graha Investama Tbk.,50.0,528.54663
KRYA,Bangun Karya Perkasa Jaya Tbk.,418.0,591.0734
KUAS,Ace Oldfields Tbk.,56.0,580.1623
LABA,Ladangbaja Murni Tbk.,99.0,570.31354
LAND,Trimitra Propertindo Tbk.,50.0,454.68604
